Date|Symbol|Short Volume|Total Volume|Market Center
20141202|A|43120|129499|Z
20141202|AA|513114|769126|Z
20141202|AAC|1900|2300|Z
20141202|AAL|243409|483942|Z
20141202|AAMC|0|100|Z
20141202|AAN|15128|25874|Z
20141202|AAOI|14504|32768|Z
20141202|AAON|3900|7000|Z
20141202|AAP|13416|22724|Z
20141202|AAPL|2803929|5212956|Z
20141202|AAT|2200|10946|Z
20141202|AAU|2800|5500|Z
20141202|AAV|22251|31176|Z
20141202|AAVL|4699|6741|Z
20141202|AAWW|12450|14850|Z
20141202|AAXJ|78982|158467|Z
20141202|AB|4700|4900|Z
20141202|ABAX|3300|5671|Z
20141202|ABB|237894|289587|Z
20141202|ABBV|138155|298119|Z
20141202|ABC|41931|108583|Z
20141202|ABCB|1400|2600|Z
20141202|ABCO|8292|14592|Z
20141202|ABDC|100|100|Z
20141202|ABEV|1100372|1669874|Z
20141202|ABG|7500|13314|Z
20141202|ABGB|3388|5688|Z
20141202|ABIO|400|3700|Z
20141202|ABM|3200|9500|Z
20141202|ABMD|5118|10218|Z
20141202|ABR|1000|2600|Z
20141202|ABRpA|0|100|Z
20141202|ABT|446406|872988|Z
20141202|ABTL|1200|1700|Z
20141202|ABX|1239442|2138737|Z
20141202|ABY|27260|60133|Z
20141202|ACAD|24383|34318|Z
20141202|ACAS|49405|133853|Z
20141202|ACAT|1100|2800|Z
20141202|ACC|12805|36958|Z
20141202|ACCO|39443|82999|Z
20141202|ACE|76805|102866|Z
20141202|ACET|1200|1400|Z
20141202|ACFN|800|2500|Z
20141202|ACG|8539|17760|Z
20141202|ACGL|7400|27571|Z
20141202|ACH|3958|5558|Z
20141202|ACHC|4800|8811|Z
20141202|ACHN|186754|295860|Z
20141202|ACI|312872|504336|Z
20141202|ACIM|200|933|Z
20141202|ACIW|17640|26140|Z
20141202|ACLS|6350|21775|Z
20141202|ACM|67632|122259|Z
20141202|ACMP|13100|31844|Z
20141202|ACN|84056|140880|Z
20141202|ACOR|4000|6089|Z
20141202|ACP|200|500|Z
20141202|ACPW|2100|3700|Z
20141202|ACRE|900|1769|Z
20141202|ACRX|1500|3200|Z
20141202|ACST|200|200|Z
20141202|ACT|54391|86410|Z
20141202|ACTA|2700|5800|Z
20141202|ACTG|12399|29732|Z
20141202|ACTS|0|300|Z
20141202|ACUR|200|400|Z
20141202|ACW|1508|8129|Z
20141202|ACWI|275394|327786|Z
20141202|ACWV|800|1900|Z
20141202|ACWX|48585|60335|Z
20141202|ACXM|33632|67529|Z
20141202|ADAT|900|1500|Z
20141202|ADBE|92228|140433|Z
20141202|ADC|900|1100|Z
20141202|ADEP|1400|2900|Z
20141202|ADES|600|1200|Z
20141202|ADGE|500|2500|Z
20141202|ADHD|1400|2100|Z
20141202|ADI|103528|194341|Z
20141202|ADK|3300|3800|Z
20141202|ADM|130953|264941|Z
20141202|ADMP|300|600|Z
20141202|ADMS|300|1800|Z
20141202|ADNC|3261|8061|Z
20141202|ADP|64124|115638|Z
20141202|ADPT|5096|5496|Z
20141202|ADRD|0|400|Z
20141202|ADS|8200|18500|Z
20141202|ADSK|61431|163574|Z
20141202|ADT|40828|76369|Z
20141202|ADTN|23270|31865|Z
