Country,Gold,Silver,Bronze,Total
USA,156,245,143,544
Canada,203,181,112,496
USSR,281,111,103,495
Norway,134,182,112,428
Sweden,119,100,174,393
Finland,73,154,162,389
Germany,136,106,87,329
Switzerland,82,86,121,289
Austria,71,84,94,249
Italy,67,64,76,207
Russian Federation,67,73,57,197
German Democratic Republic (1955-90),71,59,65,195
Czechoslovakia,2,85,81,168
France,36,28,77,141
Federal Republic of Germany (1950-90),26,27,53,106
Netherlands,25,30,28,83
Great Britain,37,7,32,76
"Unified Team (ex-USSR, 1992 Games only)",40,12,17,69
Republic of Korea,44,12,6,62
Czech Republic,25,5,27,57
China,4,26,26,56
Japan,19,14,17,50
United Team of Germany (1956-64 Games),8,10,5,23
Hungary,0,6,12,18
Belgium,3,5,8,16
Australia,3,0,7,10
Liechtenstein,2,2,5,9
Poland,1,3,4,8
Slovenia,0,0,8,8
Croatia,4,3,0,7
Ukraine,1,1,5,7
Belarus,0,3,3,6
Bulgaria,1,2,3,6
Denmark,0,6,0,6
Estonia,4,1,1,6
Kazakhstan,1,2,2,5
Romania,0,0,3,3
Democratic People's Republic of Korea,0,1,1,2
Luxembourg,0,2,0,2
Spain,1,0,1,2
Uzbekistan,1,0,0,1
New Zealand,0,1,0,1
Latvia,0,0,1,1
Slovakia,0,1,0,1
,,,,
"NB: includes individual medallists within a team event, and team medals",,,,
,,,,
SOURCE,Olympic Movement,,,
DATALINK,http://www.olympic.org/en/content/All-Olympic-results-since-1896/,,,
